OPPORTUNITY LINK,OPPORTUNITY TITLE,Status,"Private, Local, State, or Federal",AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,DUE DATE,Instrument Type,Immigration Status Requirements,Description,Demographic Eligibility,Other Eligibility Requirements,COVID Specific,Location Eligibility
F18AS00003,Cooperative Agriculture,Available,Federal,Fish and Wildlife Service,0,50,"Grants Management Specialist Patrick Schulze 703 358 2567
patrick_schulze@fws.gov",,09/30/2023,Cooperative Agreement,,,None,SAM.GOVAccount,,
PAR-18-890,Limited Competition: Additional Sequencing for the Alzheimer's Disease Sequencing Project: Opportunity for Revision Requests for Active Cooperative Agreements (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Cooperative Agreement,,,None,SAM.GOV Account,,
PAR-18-889,"Limited Competition: Renewal of, and Revisions to, the Alzheimer's Disease Genetics Consortium (U01 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2021,Cooperative Agreement,,,None,,,
PAR-19-039,Countermeasures Against Chemical Threats (CounterACT): Identification of Therapeutic Lead Compounds (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/14/2021,Cooperative Agreement,,,None,,,
PAR-19-040,Countermeasures Against Chemical Threats (CounterACT): Optimization of Therapeutic Lead Compounds (U01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/14/2021,Cooperative Agreement,,,None,,,
PAR-19-171,Comparative Effectiveness Research in Clinical Neurosciences (UG3/UH3 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Cooperative Agreement,,,None,,,
PAR-19-156,Bioengineering Research Partnerships (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Cooperative Agreement,,,None,,,
PAR-19-157,Bioengineering Research Partnerships (U01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2022,Cooperative Agreement,,,,,,
PAR-19-214,Novel Assays to Address Translational Gaps in Treatment Development (UG3/UH3 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,02/21/2022,Cooperative Agreement,,,,,,
PAR-19-220,Clinical Trial Readiness for Rare Neurological and Neuromuscular Diseases (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,02/16/2022,Cooperative Agreement,,,,,,
PA-19-230,Pragmatic clinical trial on efficacy of managing reduced iron stores on risk of clinically important events in older adults with heart failure and anemia (U01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/05/2022,Cooperative Agreement,,,,,,
PAR-19-234,Limited Competition: Additional Sequencing for the Alzheimer's Disease Sequencing Project (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2022,Cooperative Agreement,,,,,,
PAR-19-269,Cognitive Systems Analysis of Alzheimer's Disease Genetic and Phenotypic Data (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,4000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2022,Cooperative Agreement,,,,,,
PAR-19-287,Research Projects in Cancer Systems Biology (U01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/15/2021,Cooperative Agreement,,,,,,
PAR-19-288,Limited Competition: NIA Genome Center for Alzheimer's Disease (U54 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/25/2022,Cooperative Agreement,,,,,,
RFA-EB-19-002,BRAIN Initiative: Development of Next Generation Human Brain Imaging Tools and Technologies (U01 Clinical Trial not allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/03/2021,Cooperative Agreement,,,,,,
PAR-19-327,Grand Opportunity in Medications Development for Substance-Use Disorders (U01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/01/2022,Cooperative Agreement,,,,,,
PAR-19-330,Data Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative U24 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/08/2022,Cooperative Agreement,,,,,,
PAR-19-329,Clinical Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative UG3/UH3 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/08/2022,Cooperative Agreement,,,,,,
PAR-19-338,"Limited Competition: Renewals of, and Revisions and Resubmissions to, the Longitudinal Early-onset Alzheimers Disease Study (LEADS) Cooperative Agreement (U01 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/05/2022,Cooperative Agreement,,,,,,
PAR-19-361,Small-Cell Lung Cancer (SCLC) Consortium: Therapeutic Development and Mechanisms of Resistance (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,03/11/2022,Cooperative Agreement,,,,,,
PAR-19-374,Complex Integrated Multi-Component Projects in Aging Research (U19 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/25/2022,Cooperative Agreement,,,,,,
FA8651-20-S-0008,Air Superiority Technology Broad Agency Announcement,Available,Federal,Munitions Directorate,,,"Catherine D. Gray
Grantor
Phone 850-882-3018",,10/31/2024,Cooperative Agreement,,,,,,
